date,open,close,high,low,volume,amount
2025-01-24,6.35,6.52,6.59,6.29,322445,208200523.35
2025-01-27,6.46,6.28,6.51,6.26,250891,159705480.0
2025-02-05,6.32,6.2,6.33,6.12,230258,142579717.27
2025-02-06,6.18,6.38,6.42,6.15,283948,178251690.61
2025-02-07,6.34,6.37,6.47,6.29,316869,202322446.63
2025-02-10,6.37,6.42,6.44,6.35,218280,139498277.27
2025-02-11,6.39,6.49,6.52,6.37,263776,169871402.82
2025-02-12,6.45,6.51,6.54,6.41,217151,140713134.71
2025-02-13,6.48,6.46,6.6,6.42,236902,154027614.99
2025-02-14,6.45,6.35,6.47,6.31,206033,131302703.85
2025-02-17,6.34,6.42,6.46,6.32,153041,97773082.06
2025-02-18,6.42,6.19,6.42,6.16,178216,112182681.0
2025-02-19,6.19,6.27,6.33,6.17,148582,92641315.02
2025-02-20,6.24,6.42,6.46,6.24,233963,148462777.41
2025-02-21,6.41,6.44,6.55,6.38,242694,156416658.39
2025-02-24,6.44,6.38,6.48,6.33,185857,119093311.84
2025-02-25,6.34,6.3,6.38,6.29,124547,78844659.3
2025-02-26,6.33,6.37,6.39,6.3,112571,71595107.1
2025-02-27,6.37,6.61,6.72,6.27,546552,357605716.55
2025-02-28,6.55,6.66,6.82,6.55,526931,353586455.81
2025-03-03,6.66,6.63,6.91,6.56,389364,261425896.69
2025-03-04,6.6,6.69,6.69,6.52,267550,176837767.44
2025-03-05,6.66,6.57,6.68,6.53,225962,148794556.99
2025-03-06,6.56,6.58,6.62,6.47,265771,174170136.61
2025-03-07,6.56,6.85,6.88,6.56,520129,352606214.26
2025-03-10,6.85,6.75,6.85,6.69,295266,199042391.42
2025-03-11,6.69,6.69,6.71,6.6,189710,126158951.68
2025-03-12,6.69,6.65,6.7,6.63,184451,122874405.85
2025-03-13,6.69,6.82,6.91,6.58,408603,275713265.76
2025-03-14,6.93,6.95,7.23,6.93,542136,380327585.4
2025-03-17,7.08,7.15,7.36,7.07,477029,343562521.85
2025-03-18,7.1,7.15,7.2,7.0,355341,251991286.59
2025-03-19,7.1,7.29,7.49,7.03,517651,377183927.84
2025-03-20,7.28,7.54,7.65,7.17,659428,487823162.92
2025-03-21,7.63,8.29,8.29,7.61,1361530,1103134887.48
2025-03-24,8.77,8.78,9.12,8.37,2076760,1851118123.79
2025-03-25,8.27,8.3,8.98,7.99,1452432,1221334949.96
2025-03-26,8.0,8.07,8.35,7.77,1269433,1019914539.0
2025-03-27,8.1,7.73,8.25,7.49,1088740,848003291.39
2025-03-28,7.61,8.1,8.5,7.51,1650091,1356722503.35
2025-03-31,7.7,7.29,7.78,7.29,646540,478517868.88
2025-04-01,7.08,6.94,7.32,6.91,1020177,720884952.19
2025-04-02,6.89,6.92,6.94,6.82,497109,342176291.07
2025-04-03,6.82,6.83,7.06,6.8,460950,318146107.09
2025-04-07,6.28,6.15,6.38,6.15,307663,190361846.7
2025-04-08,6.0,6.0,6.16,5.71,597613,355989606.06
2025-04-09,5.84,6.1,6.17,5.53,512601,303789562.39
2025-04-10,6.23,6.18,6.33,6.15,410808,256471364.71
2025-04-11,6.11,6.08,6.2,6.08,322978,198167619.66
2025-04-14,6.13,6.31,6.42,6.13,385052,242037601.66
2025-04-15,6.33,6.28,6.44,6.24,321843,203381571.52
2025-04-16,6.26,6.11,6.29,6.03,318991,195726558.45
2025-04-17,6.07,6.11,6.24,6.06,195420,120528242.8
2025-04-18,6.11,6.26,6.32,6.09,384791,240089285.69
2025-04-21,6.18,6.32,6.34,6.12,296750,185650511.5
2025-04-22,6.28,6.27,6.39,6.23,196096,123261308.29
2025-04-23,6.32,6.34,6.42,6.27,369340,234191707.07
2025-04-24,6.24,6.06,6.24,5.98,533647,324516793.19
2025-04-25,6.07,6.08,6.12,6.03,178192,108241613.52
2025-04-28,6.1,6.0,6.12,5.99,160016,96298701.0
2025-04-29,6.01,5.99,6.06,5.95,144605,86927997.0
2025-04-30,6.0,5.97,6.02,5.95,164486,98343775.92
2025-05-06,6.01,6.18,6.18,5.96,295122,180413812.68
2025-05-07,6.24,6.35,6.37,6.18,381900,240121906.54
2025-05-08,6.32,6.37,6.4,6.3,258739,164434910.09
2025-05-09,6.36,6.26,6.39,6.23,173965,109245279.94
2025-05-12,6.3,6.34,6.43,6.3,219124,138934420.4
2025-05-13,6.42,6.3,6.45,6.29,171559,109008425.68
2025-05-14,6.3,6.3,6.33,6.24,165889,104180152.4
2025-05-15,6.29,6.19,6.3,6.17,148208,92215285.3
2025-05-16,6.18,6.18,6.29,6.16,146044,90967429.9
2025-05-19,6.16,6.27,6.27,6.14,134350,83546131.4
2025-05-20,6.26,6.37,6.45,6.25,255411,162336382.64
2025-05-21,6.32,6.31,6.36,6.28,150473,94895469.4
2025-05-22,6.3,6.19,6.32,6.18,155020,96738473.13
2025-05-23,6.16,6.1,6.26,6.08,157260,96980672.5
2025-05-26,6.11,6.23,6.24,6.11,147712,91359868.14
2025-05-27,6.19,6.17,6.22,6.12,131851,81228399.21
2025-05-28,6.16,6.26,6.33,6.16,214090,133988749.66
2025-05-29,6.24,6.28,6.33,6.19,205598,129110745.0
2025-05-30,6.26,6.31,6.36,6.19,280190,176487147.99
2025-06-03,6.26,6.29,6.32,6.23,156816,98397640.76
2025-06-04,6.29,6.52,6.58,6.29,511166,331503998.39
2025-06-05,6.51,6.56,6.7,6.47,469432,309632177.15
2025-06-06,6.55,6.53,6.6,6.51,217971,142587844.63
2025-06-09,6.56,6.55,6.6,6.5,214784,140403076.38
2025-06-10,6.52,6.49,6.68,6.43,289469,189864687.68
2025-06-11,6.55,6.63,6.69,6.53,278156,184072504.71
2025-06-12,6.59,6.65,6.68,6.58,209361,138757011.0
