code,trade_date,open_price,high_price,low_price,close_price,volume,amount,adjust_factor,turnover_rate,market,adjustment,data_source,created_at,updated_at
000725.SZ,2025-07-07,3.99,4.0,3.95,3.96,2719031.0,1077579422.11,1.0,1.25,sz,none,eastmoney,2026-03-26 17:18:39.576847,2026-03-26 17:18:39.576847
000725.SZ,2025-07-08,3.96,4.0,3.95,4.0,2492129.0,991418088.2,1.0,1.26,sz,none,eastmoney,2026-03-26 17:18:39.576855,2026-03-26 17:18:39.576855
000725.SZ,2025-07-09,3.99,4.02,3.97,3.98,3174590.0,1268919000.58,1.0,1.25,sz,none,eastmoney,2026-03-26 17:18:39.576863,2026-03-26 17:18:39.576863
000725.SZ,2025-07-10,3.98,4.06,3.98,4.03,5355399.0,2154838766.19,1.0,2.01,sz,none,eastmoney,2026-03-26 17:18:39.576871,2026-03-26 17:18:39.576871
000725.SZ,2025-07-11,4.03,4.08,4.0,4.06,4314366.0,1746749404.59,1.0,1.99,sz,none,eastmoney,2026-03-26 17:18:39.576879,2026-03-26 17:18:39.576879
000725.SZ,2025-07-14,4.05,4.07,4.04,4.05,3538385.0,1434451704.35,1.0,0.74,sz,none,eastmoney,2026-03-26 17:18:39.576887,2026-03-26 17:18:39.576887
000725.SZ,2025-07-15,4.04,4.04,3.96,3.97,5226585.0,2084419623.59,1.0,1.98,sz,none,eastmoney,2026-03-26 17:18:39.576895,2026-03-26 17:18:39.576896
000725.SZ,2025-07-16,3.97,3.98,3.94,3.95,3061838.0,1210681338.35,1.0,1.01,sz,none,eastmoney,2026-03-26 17:18:39.576904,2026-03-26 17:18:39.576904
000725.SZ,2025-07-17,3.95,4.04,3.94,4.04,4621116.0,1847396369.55,1.0,2.53,sz,none,eastmoney,2026-03-26 17:18:39.576913,2026-03-26 17:18:39.576913
000725.SZ,2025-07-18,4.04,4.05,3.97,3.99,3517360.0,1405856607.04,1.0,1.98,sz,none,eastmoney,2026-03-26 17:18:39.576922,2026-03-26 17:18:39.576922
000725.SZ,2025-07-21,3.99,4.1,3.98,4.07,5404258.0,2184507259.37,1.0,3.01,sz,none,eastmoney,2026-03-26 17:18:39.576931,2026-03-26 17:18:39.576931
000725.SZ,2025-07-22,4.06,4.11,4.04,4.11,4571962.0,1865188505.64,1.0,1.72,sz,none,eastmoney,2026-03-26 17:18:39.576939,2026-03-26 17:18:39.576939
000725.SZ,2025-07-23,4.11,4.14,4.09,4.1,4282164.0,1760703698.75,1.0,1.22,sz,none,eastmoney,2026-03-26 17:18:39.576947,2026-03-26 17:18:39.576947
