date,middlePB,quantileInRecent10YearsMiddlePB,close,pe
2011-08-29,,,3356.71,19.18
2011-08-30,,,3336.01,19.09
2011-08-31,,,3331.98,19.07
2011-09-01,,,3313.78,18.98
2011-09-02,,,3276.96,18.77
2011-09-05,,,3203.01,18.38
2011-09-06,,,3179.7,18.28
2011-09-07,,,3249.36,18.65
2011-09-08,,,3219.83,18.51
2011-09-09,,,3208.34,18.48
2011-09-13,,,3165.22,18.26
2011-09-14,,,3189.48,18.37
2011-09-15,,,3188.57,18.35
2011-09-16,,,3192.08,18.37
2011-09-19,,,3129.02,18.03
2011-09-20,,,3143.22,18.1
2011-09-21,,,3236.14,18.6
2011-09-22,,,3139.47,18.08
2011-09-23,,,3117.81,17.98
2011-09-26,,,3057.86,17.69
2011-09-27,,,3080.89,17.82
2011-09-28,,,3039.79,17.63
2011-09-29,,,2981.47,17.38
2011-09-30,,,2972.77,
2011-10-10,,,2950.19,17.24
2011-10-11,,,2943.77,17.24
2011-10-12,,,3049.38,17.79
2011-10-13,,,3079.31,17.96
2011-10-14,,,3067.6,17.9
2011-10-17,,,3080.96,17.98
2011-10-18,,,2992.03,17.54
2011-10-19,,,2979.86,17.48
2011-10-20,,,2901.72,17.09
2011-10-21,,,2871.39,16.94
2011-10-24,,,2938.16,17.31
2011-10-25,,,3003.89,17.65
2011-10-26,,,3033.2,17.79
2011-10-27,,,3038.43,17.84
2011-10-28,,,3100.59,18.15
2011-10-31,,,3100.44,18.14
2011-11-01,,,3102.53,18.14
2011-11-02,,,3155.78,18.41
2011-11-03,,,3164.57,18.47
2011-11-04,,,3187.58,18.62
2011-11-07,,,3164.37,18.49
2011-11-08,,,3142.49,18.41
2011-11-09,,,3180.28,18.6
2011-11-10,,,3127.82,18.31
2011-11-11,,,3124.66,18.31
2011-11-14,,,3193.56,18.69
2011-11-15,,,3199.47,18.7
2011-11-16,,,3115.88,18.23
2011-11-17,,,3109.42,18.21
2011-11-18,,,3033.94,17.82
2011-11-21,,,3037.41,17.82
2011-11-22,,,3035.62,17.8
2011-11-23,,,3013.38,17.69
2011-11-24,,,3014.87,17.71
2011-11-25,,,2993.84,14.26
2011-11-28,,,2997.06,14.28
2011-11-29,,,3041.41,14.47
2011-11-30,,,2929.29,13.98
2011-12-01,,,2995.85,14.3
2011-12-02,,,2951.96,14.12
2011-12-05,,,2887.6,13.9
2011-12-06,,,2884.76,13.87
2011-12-07,,,2896.42,13.92
2011-12-08,,,2894.19,13.91
2011-12-09,,,2868.24,13.81
2011-12-12,,,2836.17,13.66
2011-12-13,,,2757.9,13.37
2011-12-14,,,2720.68,13.24
2011-12-15,,,2654.35,12.96
2011-12-16,,,2718.43,13.24
2011-12-19,,,2717.11,13.22
2011-12-20,,,2708.55,13.2
2011-12-21,,,2656.21,13.02
2011-12-22,,,2641.15,12.97
2011-12-23,,,2662.01,13.08
2011-12-26,,,2639.32,12.98
2011-12-27,,,2589.55,12.8
2011-12-28,,,2584.89,12.8
2011-12-29,,,2587.59,12.82
2011-12-30,,,2629.35,13.0
2012-01-04,,,2571.95,
2012-01-05,,,2513.7,
2012-01-06,,,2527.25,
2012-01-09,,,2619.64,
2012-01-10,,,2713.53,
2012-01-11,,,2707.8,
2012-01-12,,,2706.03,
2012-01-13,,,2638.11,
2012-01-16,,,2570.85,
2012-01-17,,,2701.59,
2012-01-18,,,2650.58,
2012-01-19,,,2690.35,
2012-01-20,,,2728.34,
2012-01-30,,,2694.4,
2012-01-31,,,2697.42,
2012-02-01,,,2667.52,
2012-02-02,,,2725.67,
2012-02-03,,,2757.06,
2012-02-06,,,2766.55,
2012-02-07,,,2717.7,
2012-02-08,,,2792.75,
2012-02-09,,,2802.28,
2012-02-10,,,2811.14,
2012-02-13,,,2822.69,
2012-02-14,,,2817.06,
2012-02-15,,,2853.77,
2012-02-16,,,2845.04,
2012-02-17,,,2841.68,
2012-02-20,,,2847.06,
2012-02-21,,,2875.49,
2012-02-22,,,2922.19,
2012-02-23,,,2931.25,
2012-02-24,,,2974.6,
2012-02-27,,,2982.53,
2012-02-28,,,2977.76,
2012-02-29,,,2943.45,
2012-03-01,,,2950.12,
2012-03-02,,,3004.72,
2012-03-05,,,2996.01,
2012-03-06,,,2957.48,
2012-03-07,,,2938.74,
2012-03-08,,,2978.29,14.64
2012-03-09,,,3015.74,14.81
2012-03-12,,,3017.15,14.8
2012-03-13,,,3047.04,14.93
2012-03-14,,,2939.65,14.49
2012-03-15,,,2912.91,14.38
2012-03-16,,,2969.03,14.49
2012-03-19,,,2990.1,14.53
2012-03-20,,,2932.54,14.23
2012-03-21,,,2938.38,14.24
2012-03-22,,,2931.92,14.22
2012-03-23,,,2887.5,14.04
2012-03-26,,,2886.87,
2012-03-27,,,2877.95,
2012-03-28,,,2776.02,
2012-03-29,,,2733.41,
2012-03-30,,,2737.2,
2012-04-05,,,2811.07,13.74
2012-04-06,,,2824.33,13.98
2012-04-09,,,2794.77,13.86
2012-04-10,,,2823.86,13.97
2012-04-11,,,2829.66,14.32
2012-04-12,,,2886.76,14.27
2012-04-13,,,2903.38,14.32
2012-04-16,,,2902.52,14.29
2012-04-17,,,2864.53,14.17
2012-04-18,,,2929.29,14.45
2012-04-19,,,2924.67,14.43
2012-04-20,,,2954.36,14.57
2012-04-23,,,2922.33,14.46
2012-04-24,,,2911.87,
2012-04-25,,,2943.04,
2012-04-26,,,2940.1,14.54
2012-04-27,,,2926.84,14.49
2012-05-02,,,2979.69,14.77
2012-05-03,,,2990.6,14.85
2012-05-04,,,3015.88,14.93
2012-05-07,,,3026.91,14.96
2012-05-08,,,3021.79,14.93
2012-05-09,,,2967.8,14.68
2012-05-10,,,2972.47,14.69
2012-05-11,,,2952.36,14.58
2012-05-14,,,2936.58,14.5
2012-05-15,,,2934.81,14.48
2012-05-16,,,2893.03,14.47
2012-05-17,,,2936.01,14.49
2012-05-18,,,2890.43,14.28
2012-05-21,,,2896.94,14.31
2012-05-22,,,2940.53,14.45
2012-05-23,,,2931.78,14.36
2012-05-24,,,2908.34,14.36
2012-05-25,,,2879.71,14.23
2012-05-28,,,2922.59,14.4
2012-05-29,,,2965.03,14.58
2012-05-30,,,2962.26,14.58
2012-05-31,,,2957.27,14.53
2012-06-01,,,2955.83,14.52
2012-06-04,,,2867.4,14.12
2012-06-05,,,2866.42,
2012-06-06,,,2861.28,
2012-06-07,,,2845.28,
2012-06-08,,,2828.7,13.91
2012-06-11,,,2871.92,14.15
2012-06-12,,,2854.21,14.05
2012-06-13,,,2902.56,14.24
2012-06-14,,,2882.04,14.11
2012-06-15,,,2887.46,14.17
2012-06-18,,,2908.23,14.24
2012-06-19,,,2886.11,14.1
2012-06-20,,,2877.22,14.1
2012-06-21,,,2835.27,13.9
2012-06-25,,,2769.36,13.66
2012-06-26,,,2766.75,13.64
2012-06-27,,,2758.89,13.62
2012-06-28,,,2729.54,13.49
2012-06-29,,,2767.83,13.68
2012-07-02,,,2783.99,13.93
2012-07-03,,,2789.57,13.97
2012-07-04,,,2781.86,13.97
2012-07-05,,,2733.35,13.75
2012-07-06,,,2783.1,13.94
2012-07-09,,,2717.87,13.62
2012-07-10,,,2699.77,13.56
2012-07-11,,,2722.6,13.65
2012-07-12,,,2753.28,13.75
2012-07-13,,,2747.58,13.74
2012-07-16,,,2669.99,13.43
2012-07-17,,,2687.48,13.5
2012-07-18,,,2695.35,13.55
2012-07-19,,,2715.88,13.64
2012-07-20,,,2692.55,13.65
2012-07-23,,,2660.15,13.37
2012-07-24,,,2675.53,13.43
2012-07-25,,,2656.74,
2012-07-26,,,2638.34,13.28
2012-07-27,,,2632.71,13.27
2012-07-30,,,2600.72,13.14
2012-07-31,,,2580.4,13.09
2012-08-01,,,2615.48,13.24
2012-08-02,,,2593.6,13.15
2012-08-03,,,2628.53,13.32
2012-08-06,,,2675.8,13.5
2012-08-07,,,2689.0,13.54
2012-08-08,,,2686.01,13.54
2012-08-09,,,2716.33,13.66
2012-08-10,,,2706.73,13.63
2012-08-13,,,2651.26,13.4
2012-08-14,,,2664.73,13.45
2012-08-15,,,2636.57,13.32
2012-08-16,,,2620.77,13.26
2012-08-17,,,2617.06,13.25
2012-08-20,,,2612.8,13.23
2012-08-21,,,2637.7,13.33
2012-08-22,,,2617.65,13.25
2012-08-23,,,2629.53,13.28
2012-08-24,,,2589.8,13.12
2012-08-27,,,2533.08,12.9
2012-08-28,,,2546.6,12.96
2012-08-29,,,2525.71,12.87
2012-08-30,,,2504.94,12.81
2012-08-31,,,2504.76,12.48
2012-09-03,,,2539.72,
2012-09-04,,,2514.3,12.5
2012-09-05,,,2518.5,12.5
2012-09-06,,,2542.35,12.6
2012-09-07,,,2644.54,13.07
2012-09-10,,,2661.06,13.13
2012-09-11,,,2647.72,13.06
2012-09-12,,,2661.14,13.1
2012-09-13,,,2630.4,12.98
2012-09-14,,,2642.75,13.05
2012-09-17,,,2572.49,12.75
2012-09-18,,,2553.31,12.64
2012-09-19,,,2570.37,12.7
2012-09-20,,,2503.59,12.41
2012-09-21,,,2497.76,12.39
2012-09-24,,,2515.74,12.45
2012-09-25,,,2504.28,12.42
2012-09-26,,,2461.83,12.23
2012-09-27,,,2528.33,12.55
2012-09-28,,,2574.14,12.75
2012-10-08,,,2556.07,12.68
2012-10-09,,,2617.14,12.95
2012-10-10,,,2631.23,13.0
2012-10-11,,,2600.44,12.87
2012-10-12,,,2599.43,12.87
2012-10-15,,,2586.19,12.82
2012-10-16,,,2592.09,12.84
2012-10-17,,,2596.88,12.87
2012-10-18,,,2638.11,13.05
2012-10-19,,,2632.66,13.03
2012-10-22,,,2643.57,13.07
2012-10-23,,,2612.12,12.93
2012-10-24,,,2607.51,12.91
2012-10-25,,,2585.73,12.82
2012-10-26,,,2535.05,12.6
2012-10-29,,,2525.49,12.56
2012-10-30,,,2529.28,12.58
2012-10-31,,,2542.54,12.51
2012-11-01,,,2589.82,12.73
2012-11-02,,,2601.47,12.79
2012-11-05,,,2593.9,12.76
2012-11-06,,,2579.63,12.7
2012-11-07,,,2575.57,12.69
2012-11-08,,,2521.68,12.47
2012-11-09,,,2515.23,12.45
2012-11-12,,,2529.77,12.5
2012-11-13,,,2482.91,12.3
2012-11-14,,,2491.71,12.34
2012-11-15,,,2454.24,12.19
2012-11-16,,,2437.33,12.1
2012-11-19,,,2439.7,12.11
2012-11-20,,,2430.18,12.07
2012-11-21,,,2460.38,12.19
2012-11-22,,,2436.54,12.09
2012-11-23,,,2449.26,12.15
2012-11-26,,,2425.89,12.06
2012-11-27,,,2372.31,11.86
2012-11-28,,,2336.53,11.73
2012-11-29,,,2318.07,11.65
2012-11-30,,,2346.83,11.76
2012-12-03,,,2303.79,11.6
2012-12-04,,,2330.01,11.7
2012-12-05,,,2414.62,12.07
2012-12-06,,,2411.41,12.05
2012-12-07,,,2461.65,12.26
2012-12-10,,,2494.75,12.4
2012-12-11,,,2479.56,12.35
2012-12-12,,,2485.39,12.38
2012-12-13,,,2455.78,12.25
2012-12-14,,,2569.54,12.77
2012-12-17,,,2583.26,12.82
2012-12-18,,,2581.45,12.82
2012-12-19,,,2587.89,12.85
2012-12-20,,,2600.04,12.89
2012-12-21,,,2591.21,12.83
2012-12-24,,,2604.32,12.88
2012-12-25,,,2672.23,13.21
2012-12-26,,,2693.84,13.28
2012-12-27,,,2675.29,13.2
2012-12-28,,,2710.57,13.37
2012-12-31,,,2749.85,13.57
2013-01-04,,,2745.76,13.69
2013-01-07,,,2766.23,13.76
2013-01-08,,,2773.17,13.76
2013-01-09,,,2775.96,13.77
2013-01-10,,,2786.29,13.79
2013-01-11,,,2729.87,13.6
2013-01-14,,,2829.59,14.05
2013-01-15,,,2862.97,14.17
2013-01-16,,,2849.66,14.09
2013-01-17,,,2820.92,13.94
2013-01-18,,,2867.3,14.15
2013-01-21,,,2886.81,14.22
2013-01-22,,,2857.39,14.1
2013-01-23,,,2866.98,14.13
2013-01-24,,,2824.58,13.97
2013-01-25,,,2815.89,13.91
2013-01-28,,,2896.96,14.26
2013-01-29,,,2923.65,14.35
2013-01-30,,,2935.02,14.47
2013-01-31,,,2926.96,14.45
2013-02-01,,,2971.19,14.65
2013-02-04,,,2965.34,14.65
2013-02-05,,,2992.21,14.72
2013-02-06,,,3002.05,14.75
2013-02-07,,,2996.61,14.71
2013-02-08,,,3021.59,14.83
2013-02-18,,,3008.44,14.78
2013-02-19,,,2954.18,14.52
2013-02-20,,,2989.72,14.67
2013-02-21,,,2906.31,14.27
2013-02-22,,,2894.49,14.21
2013-02-25,,,2913.19,14.3
2013-02-26,,,2872.45,14.11
2013-02-27,,,2890.58,14.2
2013-02-28,,,2965.17,14.52
2013-03-01,,,2978.12,14.56
2013-03-04,,,2857.58,14.02
2013-03-05,,,2934.54,14.36
2013-03-06,,,2972.8,14.51
2013-03-07,,,2938.91,14.36
